dim,gpu_ms,cpu_ms,speedup,max_abs_diff,mean_abs_diff,rel_err,gpu_selected,timestamp
42,16.1693,0.8568,0.053,1.649201e-03,5.187320e-04,6.352624e-03,True,1775789282.3622758
42,0.8407,0.5057,0.601,6.842613e-05,1.456207e-05,4.680683e-04,True,1775789282.4284654
42,0.8315,0.4578,0.551,9.836257e-05,1.393319e-05,1.356242e-03,True,1775789282.4933987
42,0.8017,0.4306,0.537,1.127012e-04,1.843611e-05,1.666701e-03,True,1775789282.5592294
42,0.9370,0.5389,0.575,2.949033e-05,6.091505e-06,7.180005e-04,True,1775789282.628714
42,0.8346,0.4653,0.558,2.599321e-05,3.888507e-06,7.898622e-04,True,1775789282.6973834
42,0.8079,0.4244,0.525,1.463853e-05,3.135285e-06,6.639179e-04,True,1775789282.7637868
42,0.8122,0.4004,0.493,8.499250e-06,1.514370e-06,4.471277e-04,True,1775789282.8289752
48,0.8982,0.7321,0.815,4.671700e-05,8.779883e-06,8.824796e-04,True,1775789284.5794303
48,0.8929,0.5598,0.627,2.938323e-06,9.922436e-07,2.112252e-04,True,1775789284.7291827
48,0.8479,0.5237,0.618,9.508803e-07,2.960379e-07,1.598665e-04,True,1775789284.877278
48,0.8417,0.5207,0.619,1.566485e-06,4.181852e-07,4.537140e-04,True,1775789285.0237496
48,0.8735,0.5555,0.636,5.808863e-06,2.189957e-06,3.942353e-04,True,1775789285.8097212
48,0.8521,0.5366,0.630,8.752570e-06,1.936899e-06,6.701969e-04,True,1775789285.9513733
48,0.8530,0.5302,0.622,4.281290e-06,8.714314e-07,5.793373e-04,True,1775789286.0920627
48,0.8008,0.4615,0.576,2.299435e-06,2.807265e-07,4.273465e-04,True,1775789286.2318218
48,0.8776,0.5577,0.636,4.287437e-05,6.739790e-06,1.017889e-03,True,1775789287.119232
48,0.8069,0.4829,0.598,2.821907e-06,7.987541e-07,2.020573e-04,True,1775789287.2657814
48,0.8663,0.5472,0.632,1.246110e-06,3.772893e-07,1.582338e-04,True,1775789287.418468
48,0.8472,0.5241,0.619,3.385358e-06,4.244577e-07,5.001265e-04,True,1775789287.5666604
48,0.8122,0.4709,0.580,1.467997e-06,2.078664e-07,4.977261e-04,True,1775789287.7139432
48,0.8643,0.5318,0.615,1.035205e-06,2.419648e-07,6.469892e-04,True,1775789287.8686314
54,1.2228,0.6585,0.539,2.887659e-05,4.320562e-06,6.850414e-04,True,1775789288.7917914
54,0.9307,0.5702,0.613,2.782978e-05,4.493824e-06,1.461669e-03,True,1775789288.9655263
54,0.9318,0.5694,0.611,1.561362e-05,1.810822e-06,1.270116e-03,True,1775789289.1317523
54,0.8794,0.5190,0.590,1.798355e-06,3.709335e-07,3.820505e-04,True,1775789289.296429
54,0.9761,0.5952,0.610,4.353933e-06,1.250955e-06,1.501803e-04,True,1775789290.2963529
54,0.9040,0.5781,0.639,3.198162e-06,8.488818e-07,3.408486e-04,True,1775789290.456418
54,0.9144,0.5325,0.582,1.207180e-05,2.037664e-06,9.088346e-04,True,1775789290.6229749
54,0.8549,0.5019,0.587,4.345551e-06,8.254782e-07,4.875711e-04,True,1775789290.783601
54,0.9443,0.5966,0.632,5.179644e-05,1.158490e-05,7.812533e-04,True,1775789291.6609838
54,0.9206,0.5408,0.587,7.100403e-06,8.944236e-07,5.270166e-04,True,1775789291.8111074
54,0.8817,0.5266,0.597,4.249858e-06,9.289896e-07,5.334252e-04,True,1775789291.9623919
54,0.8417,0.4914,0.584,4.737987e-06,9.709273e-07,7.994444e-04,True,1775789292.1077876
54,0.8827,0.5301,0.601,3.081921e-06,4.486389e-07,5.164051e-04,True,1775789292.2559497
54,0.8581,0.5059,0.590,1.186505e-06,2.725032e-07,3.845296e-04,True,1775789292.4012537
54,0.9349,0.5881,0.629,7.392466e-05,1.027158e-05,1.562254e-03,True,1775789293.4771686
54,0.9021,0.5334,0.591,2.291752e-06,5.061985e-07,1.285438e-04,True,1775789293.6547375
54,0.8747,0.5092,0.582,5.812384e-06,1.545517e-06,6.067318e-04,True,1775789293.826829
54,0.8953,0.5374,0.600,2.868939e-06,4.586678e-07,2.603506e-04,True,1775789294.0018876
54,1.0096,0.6581,0.652,3.035925e-05,4.853875e-06,6.388197e-04,True,1775789295.121772
54,0.8835,0.5428,0.614,1.111068e-05,1.543756e-06,5.674410e-04,True,1775789295.3016374
54,0.9802,0.6190,0.632,5.349211e-06,1.053848e-06,3.811692e-04,True,1775789295.4888394
54,1.0116,0.6477,0.640,2.884772e-06,4.732825e-07,2.981210e-04,True,1775789295.6715968
54,0.9267,0.6574,0.709,1.185499e-04,1.209577e-05,9.091181e-04,True,1775789297.104848
54,0.9349,0.5851,0.626,1.838431e-06,5.965903e-07,1.807324e-04,True,1775789297.2790344
54,0.9524,0.6067,0.637,5.593989e-06,1.007756e-06,5.266222e-04,True,1775789297.456414
54,0.8922,0.5472,0.613,5.379785e-06,6.832744e-07,5.272375e-04,True,1775789297.6331737
54,0.8479,0.4973,0.586,3.172550e-06,6.676509e-07,5.151693e-04,True,1775789297.8099587
54,0.8718,0.4932,0.566,8.326024e-07,1.924179e-07,1.655034e-04,True,1775789297.9854136
60,0.9212,0.6078,0.660,2.139434e-05,4.116443e-06,4.044187e-04,True,1775789299.087283
60,0.9984,0.6474,0.648,2.676621e-06,5.017062e-07,2.774270e-04,True,1775789299.2864954
60,0.9880,0.6550,0.663,2.758927e-06,4.632023e-07,3.876833e-04,True,1775789299.4859664
60,0.8632,0.5524,0.640,6.582588e-06,1.254502e-06,8.838273e-04,True,1775789299.684605
54,0.9175,0.5642,0.615,6.420910e-05,1.087407e-05,8.336791e-04,True,1775789300.6199656
54,0.8561,0.5070,0.592,5.859882e-06,8.512926e-07,2.613645e-04,True,1775789300.8069768
